ACTECON;GRUANALI;antiguedad;TAMAEMP;nrotrab;riesgo;categoria;lineanegocio;modular;producto;fechainicio
8;4;61;2;101;0;0;4;1;6;2021-07-22T00:00:00.0000000
8;4;61;2;101;0;0;4;2;6;2021-07-12T00:00:00.0000000
8;4;61;2;101;0;0;4;2;6;2021-07-14T00:00:00.0000000
8;4;61;2;101;0;0;4;2;6;2021-07-26T00:00:00.0000000
8;4;61;2;101;0;0;1;2;7;2021-12-23T00:00:00.0000000
8;4;61;2;101;0;0;3;2;4;2021-03-14T00:00:00.0000000
8;4;61;2;101;0;0;3;2;4;2021-03-14T00:00:00.0000000
8;4;61;2;101;0;0;3;2;4;2021-10-12T00:00:00.0000000
8;4;61;2;101;0;0;3;2;4;2021-12-07T00:00:00.0000000
8;4;11;2;52;0;0;1;1;7;2021-12-17T00:00:00.0000000
17;4;51;2;44;3;2;1;2;3;2021-11-06T00:00:00.0000000
17;4;51;2;44;3;2;4;2;6;2021-05-08T00:00:00.0000000
17;4;51;2;44;3;2;4;2;6;2022-02-17T00:00:00.0000000
17;4;51;2;44;3;2;4;2;5;2021-08-20T00:00:00.0000000
17;4;51;2;44;3;2;1;2;7;2021-06-07T00:00:00.0000000
17;4;51;2;44;3;2;3;2;4;2021-05-08T00:00:00.0000000
17;4;51;2;44;3;2;3;2;4;2022-02-17T00:00:00.0000000
8;4;17;2;49;0;0;4;2;5;2021-12-09T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2021-07-25T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2021-10-19T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2021-12-06T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2021-07-03T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2022-01-07T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2021-11-20T00:00:00.0000000
50;2;25;2;204;2;6;4;2;6;2021-04-26T00:00:00.0000000
50;2;25;2;204;2;6;4;1;6;2022-02-25T00:00:00.0000000
24;4;19;2;32;2;4;1;1;3;2021-06-07T00:00:00.0000000
24;4;19;2;32;2;4;1;2;3;2021-06-30T00:00:00.0000000
24;4;19;2;32;2;4;4;2;5;2021-06-07T00:00:00.0000000
24;4;19;2;32;2;4;1;2;7;2021-07-12T00:00:00.0000000
23;2;24;2;624;1;6;2;2;8;2021-07-15T00:00:00.0000000
45;4;33;2;40;3;2;4;1;5;2022-02-25T00:00:00.0000000
20;4;25;2;37;2;4;1;1;3;2021-08-19T00:00:00.0000000
81;6;14;2;16;2;4;1;1;7;2021-04-30T00:00:00.0000000
113;12;23;2;97;3;2;4;1;6;2021-07-20T00:00:00.0000000
113;12;23;2;97;3;2;3;1;4;2021-07-12T00:00:00.0000000
53;14;25;2;1272;1;5;4;1;6;2021-03-17T00:00:00.0000000
53;14;25;2;1272;1;5;4;1;5;2021-03-17T00:00:00.0000000
53;14;25;2;1272;1;5;2;1;1;2021-10-01T00:00:00.0000000
53;14;25;2;1272;1;5;2;1;1;2021-10-01T00:00:00.0000000
53;14;25;2;1272;1;5;4;1;5;2021-03-17T00:00:00.0000000
27;4;9;2;13;1;7;1;1;7;2021-11-29T00:00:00.0000000
27;4;9;2;13;1;7;1;1;0;2021-05-04T00:00:00.0000000
27;4;9;2;13;1;7;1;2;0;2021-09-12T00:00:00.0000000
27;4;9;2;13;1;7;1;2;0;2021-10-01T00:00:00.0000000
76;9;25;2;137;1;6;4;1;6;2021-06-30T00:00:00.0000000
76;9;25;2;137;1;6;1;1;7;2021-05-06T00:00:00.0000000
76;9;25;2;137;1;6;1;2;7;2021-05-02T00:00:00.0000000
24;4;30;2;98;2;4;1;2;3;2021-07-12T00:00:00.0000000
24;4;30;2;98;2;4;1;2;0;2021-07-12T00:00:00.0000000
14;4;12;2;93;1;5;1;2;9;2021-03-15T00:00:00.0000000
14;4;12;2;93;1;5;1;2;7;2021-03-13T00:00:00.0000000
4;3;5;2;45;2;3;1;2;9;2021-08-18T00:00:00.0000000
66;9;67;2;603;1;6;1;2;3;2022-02-28T00:00:00.0000000
66;9;67;2;603;1;6;4;2;5;2022-02-28T00:00:00.0000000
66;9;67;2;603;1;6;4;2;5;2022-02-28T00:00:00.0000000
66;9;67;2;603;1;6;1;2;7;2022-02-28T00:00:00.0000000
74;7;52;2;336;3;1;1;1;3;2021-05-15T00:00:00.0000000
74;7;52;2;336;3;1;1;1;0;2021-05-15T00:00:00.0000000
78;9;22;1;979;1;6;1;2;9;2021-10-17T00:00:00.0000000
78;9;22;1;979;1;6;1;2;0;2021-11-16T00:00:00.0000000
8;4;21;2;19;0;0;4;2;6;2021-08-28T00:00:00.0000000
8;4;21;2;19;0;0;4;2;6;2021-04-12T00:00:00.0000000
74;7;11;2;168;3;1;2;1;1;2021-10-01T00:00:00.0000000
18;11;57;2;315;1;6;1;1;10;2021-06-14T00:00:00.0000000
46;12;11;2;162;2;4;4;1;5;2021-12-31T00:00:00.0000000
46;12;11;2;162;2;4;4;1;5;2021-12-31T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2021-06-30T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2021-07-06T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2021-07-09T00:00:00.0000000
46;12;11;2;162;2;4;3;1;4;2021-07-10T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2021-08-26T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2021-08-20T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2021-10-15T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2022-01-18T00:00:00.0000000
